"자치구별(1)","자치구별(2)",사고현황별(1),2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"자치구별(1)","자치구별(2)",사고현황별(1),발생건수 (건),사망자수 (명),부상자수 (명),발생건수 (건),사망자수 (명),부상자수 (명),발생건수 (건),사망자수 (명),부상자수 (명),발생건수 (건),사망자수 (명),부상자수 (명),발생건수 (건),사망자수 (명),부상자수 (명),발생건수 (건),사망자수 (명),부상자수 (명)
"합계","동작구",어린이 보행 사상자,-,-,17,-,1,25,-,-,24,-,-,6,-,-,17,-,-,12
"합계","관악구",어린이 교통사고,32,-,34,35,-,37,37,-,45,34,-,41,32,-,39,23,-,29
"합계","관악구",어린이보호구역내 어린이 교통사고,2,-,3,3,-,3,3,-,3,2,-,2,3,-,3,2,-,2
"합계","관악구",어린이 보행 사상자,-,-,21,-,-,25,-,-,15,-,-,14,-,-,8,-,-,8
"합계","서초구",어린이 교통사고,93,-,112,77,-,95,69,-,89,43,-,50,55,-,64,65,-,80
"합계","서초구",어린이보호구역내 어린이 교통사고,1,-,1,6,-,6,3,-,3,3,-,3,2,-,2,1,-,1
"합계","서초구",어린이 보행 사상자,-,-,34,-,-,26,-,-,21,-,-,9,-,-,16,-,-,14
"합계","강남구",어린이 교통사고,103,-,123,86,1,118,107,-,126,76,-,94,81,-,95,111,2,123
"합계","강남구",어린이보호구역내 어린이 교통사고,9,-,9,5,-,5,6,-,6,6,-,8,3,-,3,7,1,6
"합계","강남구",어린이 보행 사상자,-,-,41,-,-,33,-,-,44,-,-,20,-,-,26,-,2,41
"합계","송파구",어린이 교통사고,131,-,154,110,-,126,136,-,159,88,-,101,88,-,106,99,-,112
"합계","송파구",어린이보호구역내 어린이 교통사고,3,-,3,1,-,1,4,-,5,1,-,1,5,-,5,5,-,5
"합계","송파구",어린이 보행 사상자,-,-,46,-,-,41,-,-,56,-,-,24,-,-,16,-,-,26
"합계","강동구",어린이 교통사고,62,1,71,58,-,64,69,-,87,40,-,42,40,-,47,53,-,63
"합계","강동구",어린이보호구역내 어린이 교통사고,8,1,7,1,-,1,4,-,4,7,-,7,1,-,1,1,-,1
"합계","강동구",어린이 보행 사상자,-,1,29,-,-,24,-,-,35,-,-,17,-,-,15,-,-,20
